trajet,catr,circ,nbv,prof,plan,surf,infra,situ,vma,mois,lum,dep,agg,int,atm,col,catv,obs,obsm,choc,pieton,sexe_conducteur,age,Num_Acc,Y
5,4,2,2,1,3,1,0,1,2,8,1,27,2,3,1,3,3,0,2,1,0,1,24,202200000175,0
0,4,2,2,2,1,1,0,1,1,8,1,17,2,1,1,3,3,0,9,7,0,0,21,202200000176,0
0,4,2,2,2,1,1,0,1,1,8,1,17,2,1,1,3,3,0,9,7,0,1,37,202200000176,0
1,4,2,2,1,1,1,0,1,2,8,3,13,2,3,1,3,3,0,2,3,0,1,57,202200000178,0
5,4,2,2,1,1,1,0,1,2,8,3,13,2,3,1,3,3,0,2,3,0,1,31,202200000178,0
0,4,1,1,1,1,1,0,5,1,8,1,13,2,3,1,1,0,0,2,7,0,1,31,202200000179,0
0,4,1,1,1,1,1,0,5,1,8,1,13,2,3,1,1,0,0,2,7,0,1,28,202200000179,0
4,4,1,2,2,1,1,0,1,2,8,1,13,2,3,1,3,0,0,2,2,0,1,69,202200000180,0
9,4,1,2,2,1,1,0,1,2,8,1,13,2,3,1,3,0,0,2,2,0,1,37,202200000180,0
4,4,2,3,2,1,1,0,1,1,8,5,75,2,2,1,3,3,0,2,1,0,1,29,202200000184,0
5,4,2,3,2,1,1,0,1,1,8,5,75,2,2,1,3,3,0,2,1,0,1,28,202200000184,0
9,4,2,2,2,1,1,0,1,1,8,5,75,2,4,1,3,3,0,2,1,0,1,33,202200000185,0
9,4,2,2,2,1,1,0,1,1,8,5,75,2,4,1,3,3,0,2,1,0,1,42,202200000185,0
5,4,2,2,1,1,1,0,1,1,8,1,75,2,4,1,6,4,0,1,1,1,1,21,202200000186,0
4,4,2,2,1,1,1,0,1,1,8,1,75,2,4,1,6,3,0,1,2,1,1,43,202200000188,0
1,4,1,3,1,1,1,0,1,1,8,1,75,2,4,1,6,0,0,1,1,1,1,21,202200000189,0
9,4,1,1,1,1,1,0,1,1,8,1,75,2,2,7,6,4,0,1,1,1,1,56,202200000190,0
9,4,1,4,1,2,1,0,1,1,8,5,75,2,7,1,3,0,0,2,7,0,1,22,202200000191,0
9,4,1,4,1,2,1,0,1,1,8,5,75,2,7,1,3,0,0,2,7,0,1,30,202200000191,0
4,4,1,3,1,1,1,0,1,1,8,1,75,2,7,1,6,3,0,1,1,1,1,50,202200000192,0
1,4,2,4,1,1,1,0,1,1,8,1,75,2,3,1,3,0,0,2,1,0,1,27,202200000193,0
5,4,2,4,1,1,1,0,1,1,8,1,75,2,3,1,3,0,0,2,1,0,0,23,202200000193,0
9,3,2,2,1,1,1,0,1,2,8,1,94,2,2,1,5,3,0,2,1,0,1,25,202200000194,0
5,3,2,2,1,1,1,0,1,2,8,1,94,2,2,1,5,3,0,2,1,0,1,21,202200000194,0
0,3,2,2,1,1,1,0,1,2,8,1,94,2,2,1,5,3,0,2,1,0,1,32,202200000194,0
-1,3,2,2,1,1,1,0,1,2,8,2,93,2,3,1,3,0,0,2,1,0,0,21,202200000198,0
